Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Flexible,BLUM SAF-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,13.12,0.1005,0.1345,0.0489,,,,,,,,,,3.0
Flexible,BLUM SAF-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,13.07,0.0987,0.1325,0.0484,,,,,,,,,,781.0
Flexible,BLUM SAF-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,13.32,,0.1368,0.0494,,,,,,,,,,1.0
Flexible,Blum Cash FM BLUM SAF,BLUM SAF,11/8/22,$,11.02,0.0436,0.0459,0.0092,,,,,,,,,22521252.38,278.0
Flexible,Blum Cash S/ FM BLUM SAF,BLUM SAF,12/12/23,S/.,11.09,0.0431,0.0039,,,,,,,,,,3763664.85,2299.0
Flexible,BLUM MONEY MARKET $ FM BLUM SAF,BLUM SAF,14/02/2023,$,10.91,0.0447,0.0441,,,,,,,,,,13270897.6,11.0
Flexible,Blum Renta Global FM BLUM SAF,BLUM SAF,16/03/2022,$,0.0,,,,,,,,,,,,5389727.64,332.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.67,0.0649,0.0622,-0.0571,,,,,,,,,,8.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.62,0.0622,0.0606,-0.0584,,,,,,,,,,324.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12,,0.0641,-0.0557,,,,,,,,,,1.0
Flexible,CC DEUDA CORPORATIVA SOLES CREDIFONDO SAF,CREDIFONDO SAF,31/07/2019,S/.,120.81,0.0874,0.1362,-0.0539,-0.0377,0.0561,0.0148,,,,,,71150763.11,609.0
Flexible,CC FACTORING $ CREDIFONDO SAF,CREDIFONDO SAF,20/06/2023,$,110.12,0.0606,0.0382,,,,,,,,,,382389334.09,956.0
Flexible,CC RENTA OPERATIVA I (FI) CREDIFONDO SAF,CREDIFONDO SAF,28/06/2019,$,134.21,0.0531,0.0676,0.0549,0.0488,0.048,0.0259,,,,,,130831524.9,534.0
Flexible,CORIL CASH CONSERVADOR S/ CORIL SAF,CORIL SAF,10/8/22,S/.,1144.61,0.0516,0.0625,0.0236,,,,,,,,,5448111.12,21.0
Flexible,CRED CAP FACTORING S/ CREDIFONDO SAF,CREDIFONDO SAF,7/12/20,S/.,129.26,0.0656,0.0829,0.0673,0.0418,0.0048,,,,,,,80110588.11,321.0
Flexible,FARO DEUDA GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,65077346.68,46.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,105.48,0.0265,0.0447,-0.1174,-0.0194,0.0617,0.0656,0.0039,,,,,,4.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,104.52,0.0255,0.0435,-0.1184,-0.0205,0.0604,0.0635,0.0025,,,,,,8.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,103.28,0.0245,0.0423,-0.1194,-0.0217,0.0592,0.0597,-0.0003,,,,,,34.0
Flexible,IF Futuro Seguro $ INTERFONDO,INTERFONDO,27/12/2021,$,49.99,0.0727,0.0832,-0.1385,-0.0003,,,,,,,,9523113.58,158.0
Flexible,IF Futuro Seguro S/ INTERFONDO,INTERFONDO,27/12/2021,S/.,104.05,0.0718,0.1038,-0.1201,-0.0005,,,,,,,,8609830.07,219.0
Flexible,IF INVERSION GLOBAL INTERFONDO,INTERFONDO,26/01/2015,$,70.16,0.1134,0.1405,-0.2028,0.1175,0.1496,0.1565,-0.088,0.0699,-0.0209,-0.0282,,27918189.84,663.0
Flexible,IF OPORTUNIDAD INTERFONDO,INTERFONDO,6/12/13,$,0.0,,,,,0.0205,0.0269,0.01,0.0141,0.0071,0.0061,0.0024,387666861.53,4227.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE A,INTERFONDO,6/12/13,$,59.52,0.0359,0.0336,0.0144,,,,,,,,,,3981.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE B,INTERFONDO,6/12/13,$,59.92,0.0375,0.0354,0.0162,,,,,,,,,,92.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE C,INTERFONDO,6/12/13,$,59.53,,,,,,,,,,,,,154.0
Flexible,IF OPORTUNIDAD SOLES INTERFONDO,INTERFONDO,16/11/2012,S/.,0.0,,,,,,0.0352,0.0219,0.0427,0.0404,0.0388,0.0329,676121701.96,8919.0
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,147.16,0.0477,0.078,0.0026,-0.0101,,,,,,,,,8305.0
