Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
23 - Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $ CREDIFONDO SAF,CREDIFONDO SAF,26/03/1996,$,269.225168,5.37%,6.03%,-3.60%,-0.63%,4.01%,6.29%,"690,801,831.06",1.50%,"6,141.00",1.26%,31/10/2024
23 - Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO INTERFONDO,INTERFONDO,1/9/97,$,113.0186,3.29%,3.31%,-4.39%,-1.42%,3.09%,4.40%,"84,657,300.04",0.18%,"3,915.00",0.80%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,BBVA CASH SOLES CONTINENTAL FM,CONTINENTAL FM,2/12/08,S/.,162.4259007,4.76%,7.13%,3.80%,0.10%,0.91%,2.49%,"2,627,556,697.17",5.71%,"73,771.00",15.14%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,27/12/2005,S/.,196.5458203,4.96%,7.68%,2.72%,-1.95%,2.45%,3.78%,"407,263,099.55",0.89%,"5,396.00",1.11%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV CONTINENTAL FM,CONTINENTAL FM,3/10/18,S/.,125.2696553,4.87%,7.08%,3.44%,0.14%,1.38%,3.20%,"293,390,258.92",0.64%,460,0.09%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/ CREDIFONDO SAF,CREDIFONDO SAF,10/2/14,S/.,153.368532,5.37%,7.54%,3.29%,-0.76%,3.07%,3.77%,"809,653,839.22",1.76%,"10,978.00",2.25%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/ CREDIFONDO SAF,CREDIFONDO SAF,6/4/00,S/.,333.606157,4.78%,7.21%,4.57%,0.20%,1.36%,3.02%,"2,183,626,616.03",4.75%,"32,793.00",6.73%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,149.139815,-4.80%,7.70%,4.95%,1.45%,2.17%,4.00%,"3,773,645.66",0.01%,157,0.03%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,SF Liquidez S/. SCOTIA FONDOS,SCOTIA FONDOS,30/01/2023,S/.,11.26800309,4.37%,6.35%,,,,,"1,177,083,339.99",2.56%,"15,097.00",3.10%,31/10/2024
24 - Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES FONDOS SURA SAF,FONDOS SURA SAF,25/03/2009,S/.,188.645247,5.25%,6.70%,3.94%,-0.67%,2.96%,4.29%,"210,884,917.84",0.46%,823,0.17%,31/10/2024
